article,noun,plural
die,Mensa,Mensas/Mensen
die,Universität,Universitäten⁰
das,Semester,Semester
die,Woche,Wochen
die,Vorlesung,Vorlesungen⁰
,Modulschein,
,ECTS-Punkte,
der,Modul,Moduln
das,Seminar,Seminare/Seminarien⁹
die,Prüfung,Prüfungen
das,Praktikum,Praktika
der,Studenten,Studenten
der,Club,Clubs
,Mensakarte,
der,Hunger,
der,Freunde,Freunde
,Professor / Professoren,
das,Sprachenzentrum,Zentren
das,Studienfach,Studienfächer
die,Bibliothek,Bibliotheken
das,Gebäude,Gebäude
die,Lehrveranstaltung,Lehrveranstaltungen
das,Fahrrad,Fahrräder
der,Kurs,Kurse
-,Eltern,Eltern
die,Übung,Übungen
das,Essen,Essen⁰
der,Bibliotheksausweis,Bibliotheksausweise
,Kopierkarte,
,Studienausweis,
,Gesundheitskarte,
der,Abend,Abende⁰
die,Bar,Bars
,S-Bahn,
,E-Mail,
,Bachelorarbeit,
das,Wohnheim,Wohnheime⁴
der,Sport,Sporte⁴
das,Kino,Kinos⁰
der,Onkel,Onkel
die,Tante,Tanten
